,predictions,attention_mean
2024-08-12,0.53300273,0.14285715
2024-08-13,0.53436685,0.14285713
2024-08-14,0.5240067,0.14285713
2024-08-15,0.5148884,0.14285715
2024-08-16,0.507106,0.14285715
2024-08-19,0.49483517,0.14285713
2024-08-20,0.49016687,0.14285713
2024-08-21,0.5014877,0.14285715
2024-08-22,0.50287175,0.14285712
2024-08-23,0.5080779,0.14285712
2024-08-26,0.512796,0.14285712
2024-08-27,0.5084405,0.14285715
2024-08-28,0.51146907,0.14285715
2024-08-29,0.5134714,0.14285713
2024-08-30,0.5077553,0.14285715
2024-09-03,0.50093096,0.14285715
2024-09-04,0.49505168,0.14285715
2024-09-05,0.5016576,0.14285715
2024-09-06,0.50717694,0.14285715
2024-09-09,0.51742554,0.14285715
2024-09-10,0.5197925,0.14285715
2024-09-11,0.5204364,0.14285715
2024-09-12,0.5311355,0.14285715
2024-09-13,0.52431965,0.14285712
2024-09-16,0.51562095,0.14285715
2024-09-17,0.5169401,0.14285713
2024-09-18,0.49955657,0.14285715
2024-09-19,0.49387598,0.14285715
2024-09-20,0.50249857,0.14285715
2024-09-23,0.4983264,0.14285716
2024-09-24,0.50458795,0.14285715
2024-09-25,0.5091987,0.14285713
2024-09-26,0.50513375,0.14285715
2024-09-27,0.49768552,0.14285715
2024-09-30,0.48597234,0.14285715
2024-10-01,0.4819942,0.14285715
2024-10-02,0.49810144,0.14285715
2024-10-03,0.49340817,0.14285715
2024-10-04,0.49766764,0.14285715
2024-10-07,0.4930517,0.14285715
2024-10-08,0.5006273,0.14285715
2024-10-09,0.5033708,0.14285715
2024-10-10,0.51033336,0.14285713
2024-10-11,0.50817513,0.14285713
2024-10-14,0.50558174,0.14285715
2024-10-15,0.49849617,0.14285716
2024-10-16,0.50395155,0.14285713
2024-10-17,0.49595392,0.14285713
2024-10-18,0.49970955,0.14285716
2024-10-21,0.507159,0.14285716
2024-10-22,0.5041705,0.14285715
2024-10-23,0.5043173,0.14285712
2024-10-24,0.51529384,0.14285713
2024-10-25,0.51334864,0.14285715
2024-10-28,0.51464325,0.14285715
2024-10-29,0.5201387,0.14285715
2024-10-30,0.52051634,0.14285715
2024-10-31,0.52376515,0.14285712
2024-11-01,0.53391933,0.14285715
2024-11-04,0.5307488,0.14285716
2024-11-05,0.53291565,0.14285715
2024-11-06,0.534855,0.14285716
2024-11-07,0.5304497,0.14285713
2024-11-08,0.5282646,0.14285715
2024-11-11,0.52433497,0.14285715
2024-11-12,0.5072997,0.14285715
2024-11-13,0.49696723,0.14285712
2024-11-14,0.48392257,0.14285713
2024-11-15,0.47202906,0.14285715
2024-11-18,0.49375913,0.14285715
2024-11-19,0.5116089,0.14285713
2024-11-20,0.5164946,0.14285715
2024-11-21,0.52398056,0.14285716
2024-11-22,0.5250636,0.14285715
2024-11-25,0.52118516,0.14285713
2024-11-26,0.5165449,0.14285715
2024-11-27,0.5044438,0.14285713
2024-11-29,0.4991929,0.14285715
2024-12-02,0.49979338,0.14285715
2024-12-03,0.4971647,0.14285715
2024-12-04,0.50507724,0.14285715
2024-12-05,0.5153593,0.14285716
2024-12-06,0.5264995,0.14285715
2024-12-09,0.5279452,0.14285715
2024-12-10,0.5224862,0.14285715
2024-12-11,0.51414204,0.14285715
2024-12-12,0.51227766,0.14285715
